case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
NET-018,New laptops connecting to Office Wi-Fi fail to obtain IP addresses,DHCP Server Pool configured on Cisco Router R1 for 192.168.50.0/24,R1# show ip dhcp pool OFFICE_POOL\nPool OFFICE_POOL :\n Utilization mark (high/low)    : 100 / 0\n Subnet size (total/used/free) : 254 / 254 / 0\n Total addresses                : 254\n Leased addresses               : 254\n Excluded addresses             : 0\n Pending addresses              : 0\nR1# show ip dhcp binding\n(254 active leases logged),DHCP pool exhaustion,Layer 7,DHCP,High
NET-019,VLAN 10 clients fail to get IP from centralized DHCP Server at 172.16.1.10,Router R1 connecting VLAN 10 (Gi0/0.10: 192.168.10.1) to Server Farm (Gi0/1),R1# show running-config interface GigabitEthernet0/0.10\ninterface GigabitEthernet0/0.10\n encapsulation dot1Q 10\n ip address 192.168.10.1 255.255.255.0\n!\n(Note: DHCP Discover broadcasts on Gi0/0.10 are dropped without helper-address),Missing ip helper-address on gateway interface,Layer 3/4,DHCP,High
NET-020,Network devices unable to ping hostname 'cisco.com' but can ping 8.8.8.8,Router R1 connected to Internet gateway,R1# show running-config | include ip domain\nno ip domain-lookup\nR1# ping cisco.com\nTranslating \"cisco.com\"...domain server (255.255.255.255)\n% Unrecognized host or address, or protocol not running.,DNS lookup disabled on router,Layer 7,DNS,Medium
NET-021,Admin authentication via AAA RADIUS server fails with invalid credentials,Cisco Switch SW1 configured for AAA RADIUS authentication to Server 192.168.1.100,SW1# show logging | include RADIUS\n%RADIUS-4-RADIUS_AUTH_FAIL: RADIUS server 192.168.1.100:1812 authentication failed due to key mismatch\nSW1# show running-config | include radius-server\nradius-server host 192.168.1.100 auth-port 1812 key Cisc0Key123\nServer secret expected: CiscoKey123,RADIUS shared-secret mismatch,Layer 7,Security/DAI,High
NET-022,HSRP Flapping between Primary Router R1 and Backup Router R2,R1 Gi0/0 (192.168.1.2) and R2 Gi0/0 (192.168.1.3) sharing VIP 192.168.1.1,R1# show standby GigabitEthernet0/0\nGigabitEthernet0/0 - Group 1\n  State is Active\n  Virtual IP address is 192.168.1.1\n  Hello time 1 sec, hold time 3 sec\n!\nR2# show standby GigabitEthernet0/0\nGigabitEthernet0/0 - Group 1\n  State is Active\n  Virtual IP address is 192.168.1.1\n  Hello time 5 sec, hold time 15 sec\n% Both routers reporting Active state simultaneously,HSRP timer mismatch causing split-brain active state,Layer 3,HSRP,Medium
NET-023,IPv6 host PC1 fails SLAAC auto-configuration on GigabitEthernet0/0,R1 (2001:db8:acad:1::1/64) connected to LAN,R1# show running-config interface GigabitEthernet0/0\ninterface GigabitEthernet0/0\n ipv6 address 2001:DB8:ACAD:1::1/64\n ipv6 nd ra suppress\n!\nPC1> ipconfig\nIPv6 Address...................: :: (Autoconfiguration disabled),IPv6 Router Advertisements suppressed on gateway,Layer 3,IPv6,High
NET-024,Network Engineer running 'show cdp neighbors' gets empty table on Switch,SW1 connected to SW2, SW3, and Router R1,SW1# show cdp\n% CDP is not enabled\nSW1# show cdp neighbors\n% CDP is not running\nSW1# show running-config | include cdp\nno cdp run,CDP globally disabled,Layer 2,CDP,Low
NET-025,OSPF Point-to-Point link between R1 and R2 cannot ping or establish neighbor,R1 (Gi0/0: 10.0.0.1/24) connected to R2 (Gi0/0: 10.0.0.2/30),R1# show interfaces GigabitEthernet0/0 | include Internet address\n  Internet address is 10.0.0.1/24\n!\nR2# show interfaces GigabitEthernet0/0 | include Internet address\n  Internet address is 10.0.0.2/30\n(Subnet mask length mismatch: /24 vs /30 on link),Subnet mask mismatch on point-to-point link,Layer 3,Subnetting,High
NET-026,Wireless clients on SSID 'CORP_WIFI' unable to communicate with VLAN 100,Cisco 2504 WLC connected to Distribution Switch SW1 trunk port Gi0/1,WLC# show wlan summary\nNumber of WLANs................................ 1\nWLAN ID  WLAN Profile Name / SSID          Status    Interface Name\n1        CORP_WIFI / CORP_WIFI              Enabled   management (VLAN 1)\n(WLAN mapped to management interface VLAN 1 instead of corp-vlan-100),Wireless SSID VLAN mapping misconfiguration,Layer 2,Wireless,High
NET-027,Guests on Wi-Fi portal cannot resolve domain names via public DNS,Cisco WLC / Guest Anchor Router with Guest-ACL applied to interface,R1# show access-lists GUEST_FILTER\nExtended IP access list GUEST_FILTER\n 10 deny udp any any eq domain (matches: 512 packets)\n 20 permit tcp any any eq www\n 30 permit tcp any any eq 443\n 40 deny ip any any,Wireless guest ACL blocking client DNS queries (UDP 53),Layer 4,Wireless/ACL,High
NET-028,Access switch port Gi0/10 in err-disabled state after connecting mini-switch,SW1 Access Port Gi0/10 with BPDU Guard enabled,SW1# show interfaces GigabitEthernet0/10 status\nPort      Name               Status       Vlan       Duplex  Speed Type\nGi0/10    Desk-Drop-10       err-disabled 20         auto    auto  10/100/1000BaseTX\nSW1# show logging | include BPDUGUARD\n%SPANTREE-2-BLOCK_BPDUGUARD: Received BPDU on port Gi0/10 with BPDU Guard enabled. Disabling port.,Spanning Tree BPDU Guard triggered err-disable,Layer 2,Switching,High
NET-029,Inter-department ping tests between VLAN 10 and VLAN 20 are dropped,Core Router R1 with access-list 105 applied inbound on Gi0/0.10,R1# show access-lists 105\nExtended IP access list 105\n 10 permit tcp 192.168.10.0 0.0.0.255 192.168.20.0 0.0.0.255 eq 443\n (No permit rule for ICMP or TCP port 80 - hitting implicit deny any any)\nR1# show ip access-lists 105 | include matches\n 20 deny ip any any (matches: 64 packets),ACL implicit deny blocking ICMP and web traffic,Layer 3/4,ACL,Medium
NET-030,OSPF neighbor relationship between Core-R1 and Edge-R2 remains down,Core-R1 Gi0/0 (10.200.1.1/30) to Edge-R2 Gi0/0 (10.200.1.2/30),Core-R1# show ip ospf interface GigabitEthernet0/0\nGigabitEthernet0/0 is up, line protocol is up\n  Internet Address 10.200.1.1/30, Area 0\n!\nEdge-R2# show ip ospf interface GigabitEthernet0/0\nGigabitEthernet0/0 is up, line protocol is up\n  Internet Address 10.200.1.2/30, Area 1\n% OSPF-4-ERRRCV: Received packet with invalid Area ID 0 from 10.200.1.1 on GigabitEthernet0/0,OSPF Area ID mismatch on link,Layer 3,OSPF,High
